,0
0,0.02
1,0.0
2,0.02
3,0.06
4,0.0
5,0.02
6,0.06
7,0.0
8,0.16
9,0.14
10,0.96
11,0.02
12,0.04
13,0.04
14,0.32
15,0.98
16,0.0
17,0.0
18,0.0
19,0.02
20,0.0
21,0.96
22,0.02
23,0.0
24,0.0
25,0.06
26,0.04
27,0.0
28,0.0
29,0.02
30,0.02
31,0.08
32,0.0
33,0.94
34,0.0
35,0.0
36,0.0
37,0.02
38,0.02
39,0.0
40,0.0
41,0.94
42,0.04
43,0.0
44,0.0
45,0.04
46,0.0
47,0.0
48,0.7
49,0.02
50,0.02
51,0.04
52,0.0
53,0.0
54,0.8
55,0.0
56,0.0
57,0.82
58,0.02
59,0.02
60,0.0
61,0.02
62,0.0
63,0.02
64,0.0
65,0.0
66,0.0
67,0.04
68,0.02
69,0.76
70,0.06
71,0.08
72,0.0
73,0.0
74,0.0
75,0.0
76,1.0
77,0.96
78,0.0
79,0.0
80,0.04
81,0.0
82,0.0
83,0.08
84,0.62
85,0.0
86,1.0
87,0.0
88,0.0
89,0.74
90,0.0
91,0.72
92,0.0
93,0.0
94,0.02
95,0.04
96,0.02
97,0.04
98,0.6
99,0.78
100,0.06
101,0.0
102,0.02
103,0.0
104,0.0
105,0.04
106,0.0
107,0.02
108,0.0
109,0.0
110,0.04
111,0.0
112,0.18
113,0.12
114,0.0
115,0.96
116,0.02
117,0.98
118,0.0
119,0.04
120,0.0
121,0.02
122,0.0
123,0.0
124,0.0
125,0.02
126,0.98
127,0.72
128,0.0
129,0.02
130,0.0
131,0.0
132,0.04
133,0.06
134,0.0
135,0.04
136,0.06
137,0.0
138,0.0
139,0.0
140,0.0
141,0.02
142,0.04
143,0.1
144,0.94
145,0.02
146,0.04
147,0.26
148,0.0
149,0.04
150,0.0
151,0.02
152,0.0
153,0.08
154,0.06
155,0.04
156,0.98
157,0.0
158,0.0
159,0.02
160,0.0
161,0.0
162,0.02
163,0.02
164,0.08
165,0.0
166,0.04
167,0.0
168,0.0
169,0.04
170,0.06
171,0.02
172,0.0
173,0.06
174,0.04
175,0.02
176,0.0
177,0.0
178,0.04
179,0.12
180,0.08
181,0.98
182,0.0
183,0.02
184,0.36
185,0.04
186,0.0
187,0.16
188,0.0
189,0.0
190,0.06
191,0.0
192,0.0
193,0.0
194,0.04
195,0.0
196,0.02
197,0.9
198,0.78
199,0.04
200,0.02
201,0.12
202,0.02
203,0.0
204,0.02
205,0.08
206,0.02
207,0.0
208,0.0
209,0.04
210,0.02
211,0.0
212,0.0
213,0.02
214,0.94
215,0.0
216,0.04
217,0.0
218,0.92
219,0.0
220,0.0
221,0.02
222,0.0
223,0.02
224,0.0
225,0.04
226,0.02
227,0.0
228,0.06
229,0.02
230,0.82
231,0.0
232,0.0
233,0.0
234,0.02
235,0.96
236,0.04
237,0.02
238,0.04
239,0.0
240,0.02
241,0.9
242,0.06
243,0.04
244,0.64
245,0.02
246,0.0
247,0.02
248,0.06
249,0.0
250,0.82
251,0.02
252,0.0
253,0.0
254,0.04
255,0.06
256,0.0
257,0.02
258,0.92
259,0.0
260,0.02
261,0.0
262,0.0
263,0.02
264,0.04
265,0.06
266,0.0
267,0.02
268,0.04
269,0.0
270,0.02
271,0.0
272,0.0
273,0.0
274,0.0
275,0.02
276,0.0
277,0.58
278,0.02
279,0.0
280,0.02
281,0.0
282,0.04
283,0.08
284,0.0
285,0.02
286,0.0
287,0.04
288,0.0
289,0.98
290,0.02
291,0.0
292,0.02
293,0.88
294,0.0
295,0.04
296,0.0
297,0.0
298,0.04
299,0.0
300,0.0
301,0.96
302,0.74
303,0.04
304,0.0
305,0.14
306,0.96
307,0.84
308,0.02
309,0.1
310,0.88
311,0.04
312,0.02
313,0.04
314,0.02
315,0.0
316,0.0
317,0.0
318,0.02
319,0.94
320,0.02
321,0.0
322,0.0
323,0.0
324,0.0
325,0.02
326,0.0
327,0.02
328,0.02
329,0.02
330,0.04
331,0.94
332,0.92
333,0.0
334,0.0
335,0.02
336,0.02
337,0.02
338,0.16
339,0.06
340,0.58
341,0.04
342,0.04
343,0.02
344,0.0
345,0.02
346,0.0
347,0.0
348,0.0
349,0.96
350,0.02
351,0.02
352,0.0
353,0.0
354,1.0
355,0.0
356,0.06
357,0.0
358,0.0
359,0.0
360,0.86
361,0.0
362,0.0
363,0.1
364,0.0
365,1.0
366,0.1
367,0.04
368,0.02
369,0.04
370,0.0
371,0.0
372,0.9
373,0.02
374,0.0
375,0.02
376,0.0
377,0.0
378,0.88
379,0.02
380,0.06
381,0.0
382,0.0
383,0.1
384,0.0
385,0.04
386,0.0
387,0.0
388,0.02
389,0.0
390,0.0
391,0.0
392,0.02
393,0.0
394,0.68
395,0.04
396,0.0
397,0.72
398,0.02
399,0.62
400,0.0
401,0.0
402,0.0
403,0.02
404,0.02
405,0.06
406,0.0
407,0.96
408,0.06
409,0.02
410,0.04
411,0.0
412,0.12
413,0.04
414,0.0
415,0.92
416,0.9
417,0.08
418,0.06
419,0.0
420,0.04
421,0.12
422,0.04
423,0.0
424,0.0
425,0.0
426,0.0
427,0.04
428,0.0
429,0.0
430,0.92
431,0.0
432,0.06
433,0.0
434,0.04
435,0.02
436,0.0
437,0.86
438,0.12
439,0.0
440,0.06
441,0.02
442,0.02
443,0.04
444,0.0
445,0.0
446,0.02
447,0.06
448,0.02
449,0.08
450,0.0
451,0.1
452,0.04
453,0.02
454,0.94
455,0.92
456,0.02
457,0.0
458,0.02
459,0.0
460,0.06
461,0.0
462,0.02
463,0.0
464,0.0
465,0.96
466,0.52
467,0.0
468,0.02
469,0.12
470,0.08
471,0.0
472,0.02
473,0.84
474,0.06
475,0.0
476,0.0
477,0.0
478,0.06
479,0.0
480,0.02
481,0.02
482,0.0
483,0.02
484,0.0
485,0.0
486,0.06
487,0.06
488,0.1
489,0.0
490,0.08
491,0.92
492,0.92
493,0.0
494,0.04
495,0.02
496,0.04
497,0.02
